iter	Passed	Remaining
0	58	58880
1	59	29604
2	59	19872
3	60	15043
4	60	12104
5	61	10151
6	61	8761
7	62	7697
8	62	6880
9	62	6232
10	63	5706
11	64	5270
12	64	4894
13	64	4566
14	65	4283
15	65	4037
16	66	3816
17	66	3629
18	67	3462
19	67	3302
20	67	3157
21	68	3031
22	68	2920
23	69	2817
24	69	2720
25	70	2627
26	70	2540
27	70	2461
28	71	2386
29	71	2317
30	72	2257
31	72	2195
32	72	2137
33	73	2085
34	73	2037
35	74	1993
36	75	1952
37	75	1908
38	75	1866
39	76	1826
40	76	1788
41	76	1751
42	77	1720
43	77	1691
44	78	1660
45	78	1629
46	78	1601
47	79	1575
48	79	1550
49	80	1528
50	80	1504
51	81	1481
52	81	1461
53	82	1440
54	82	1419
55	82	1398
56	83	1377
57	83	1359
58	84	1341
59	84	1323
60	84	1307
61	85	1289
62	85	1274
63	86	1258
64	86	1242
65	86	1229
66	87	1217
67	87	1204
68	88	1193
69	88	1179
70	89	1167
71	89	1156
72	90	1144
73	90	1131
74	90	1120
75	91	1108
76	91	1098
77	92	1088
78	92	1078
79	92	1067
80	93	1058
81	93	1049
82	94	1038
83	94	1028
84	94	1019
85	95	1011
86	95	1003
87	96	995
88	96	986
89	96	979
90	97	972
91	97	966
92	98	958
93	98	952
94	99	946
95	99	938
96	100	931
97	100	923
98	100	917
99	101	911
100	101	906
101	102	899
102	102	892
103	102	885
104	103	880
105	103	874
106	104	868
107	104	863
108	104	856
109	105	851
110	105	846
111	106	841
112	106	835
113	106	829
114	107	824
115	107	818
116	107	812
117	108	807
118	108	803
119	108	799
120	109	794
121	109	788
122	109	783
123	110	778
124	110	773
125	110	769
126	111	764
127	111	760
128	112	757
129	112	753
130	113	749
131	113	746
132	114	743
133	114	739
134	114	735
135	115	731
136	115	728
137	115	724
138	116	721
139	116	718
140	117	715
141	117	710
142	118	707
143	118	704
144	118	700
145	119	696
146	119	693
147	119	689
148	120	686
149	120	683
150	120	680
151	121	676
152	121	673
153	122	670
154	122	667
155	122	664
156	123	661
157	123	658
158	123	655
159	124	653
160	124	649
161	124	646
162	125	643
163	125	640
164	125	637
165	126	634
166	126	631
167	126	628
168	127	626
169	127	623
170	128	622
171	128	620
172	129	619
173	130	617
174	130	614
175	130	612
176	131	609
177	131	607
178	132	606
179	132	604
180	133	602
181	133	600
182	134	598
183	134	597
184	135	595
185	135	593
186	136	591
187	136	589
188	136	586
189	136	584
190	137	581
191	137	580
192	138	578
193	138	576
194	139	574
195	139	573
196	140	572
197	140	570
198	141	568
199	141	566
200	141	564
201	142	562
202	142	560
203	143	559
204	143	557
205	144	556
206	144	554
207	145	553
208	145	552
209	146	550
210	146	548
211	147	546
212	147	544
213	147	543
214	148	541
215	148	539
216	149	537
217	149	536
218	149	534
219	150	532
220	150	531
221	151	530
222	151	529
223	152	527
224	152	526
225	153	525
226	153	523
227	154	522
228	154	521
229	155	519
230	155	517
231	156	516
232	156	515
233	156	513
234	157	512
235	157	510
236	158	509
237	158	507
238	159	506
239	159	504
240	159	503
241	160	501
242	160	500
243	161	498
244	161	497
245	161	495
246	162	494
247	162	492
248	163	491
249	163	490
250	163	488
251	164	487
252	164	485
253	164	484
254	165	482
255	165	480
256	165	479
257	166	477
258	166	476
259	166	475
260	167	473
261	167	472
262	167	470
263	168	469
264	168	468
265	169	467
266	169	465
267	169	464
268	170	462
269	170	461
270	170	459
271	171	458
272	171	456
273	172	455
274	172	454
275	172	452
276	173	451
277	173	450
278	173	448
279	174	447
280	174	446
281	174	445
282	175	443
283	175	442
284	175	441
285	176	440
286	176	439
287	177	438
288	177	436
289	177	435
290	178	434
291	178	432
292	178	431
293	179	430
294	179	429
295	179	427
296	180	426
297	180	425
298	180	423
299	181	422
300	181	421
301	181	420
302	182	418
303	182	417
304	182	416
305	183	415
306	183	414
307	183	412
308	184	411
309	184	410
310	184	409
311	185	408
312	185	407
313	185	406
314	186	405
315	186	403
316	187	402
317	187	401
318	187	400
319	188	399
320	188	398
321	188	397
322	189	396
323	189	395
324	190	394
325	190	393
326	190	392
327	191	391
328	191	390
329	191	389
330	192	388
331	192	387
332	192	386
333	193	385
334	193	384
335	194	383
336	194	382
337	194	381
338	195	380
339	195	380
340	196	379
341	197	380
342	197	378
343	198	377
344	198	376
345	198	376
346	199	375
347	199	374
348	199	373
349	200	372
350	200	371
351	201	370
352	201	369
353	201	368
354	202	367
355	202	366
356	202	365
357	203	364
358	203	363
359	203	362
360	204	361
361	204	360
362	204	359
363	205	358
364	205	357
365	205	356
366	205	355
367	206	354
368	206	353
369	206	352
370	207	351
371	207	350
372	207	349
373	208	348
374	208	347
375	208	346
376	209	345
377	209	344
378	209	343
379	210	342
380	210	341
381	210	340
382	211	340
383	211	339
384	211	338
385	212	337
386	212	336
387	212	335
388	213	334
389	213	333
390	213	332
391	214	332
392	214	331
393	214	330
394	214	329
395	215	328
396	215	327
397	216	326
398	216	325
399	216	325
400	216	324
401	217	323
402	217	322
403	217	321
404	218	320
405	218	319
406	218	318
407	219	318
408	219	317
409	219	316
410	220	315
411	220	314
412	220	313
413	221	312
414	221	312
415	221	311
416	221	310
417	222	309
418	222	308
419	222	307
420	223	306
421	223	306
422	223	305
423	224	304
424	224	303
425	224	302
426	225	302
427	225	301
428	225	300
429	226	299
430	226	298
431	226	297
432	226	297
433	227	296
434	227	295
435	227	294
436	228	293
437	228	293
438	228	292
439	229	291
440	229	290
441	229	290
442	230	289
443	230	288
444	230	287
445	231	287
446	231	286
447	231	285
448	232	285
449	232	284
450	232	283
451	233	282
452	233	281
453	233	281
454	234	280
455	234	279
456	234	279
457	235	278
458	235	277
459	235	276
460	236	276
461	236	275
462	236	274
463	237	273
464	237	273
465	237	272
466	238	271
467	238	271
468	238	270
469	239	269
470	239	268
471	239	268
472	239	267
473	240	266
474	240	265
475	240	265
476	241	264
477	241	263
478	241	262
479	242	262
480	242	261
481	242	260
482	243	260
483	243	259
484	243	258
485	243	258
486	244	257
487	244	256
488	244	255
489	245	255
490	245	254
491	246	254
492	246	253
493	246	252
494	247	252
495	247	251
496	247	250
497	248	250
498	248	249
499	249	249
500	249	248
501	249	247
502	250	247
503	250	246
504	250	245
505	251	245
506	251	244
507	251	243
508	252	243
509	252	242
510	252	241
511	253	241
512	253	240
513	253	240
514	254	239
515	254	238
516	255	238
517	255	237
518	255	237
519	256	237
520	257	236
521	257	236
522	258	235
523	258	234
524	258	234
525	259	233
526	259	233
527	259	232
528	260	231
529	260	231
530	260	230
531	261	229
532	261	229
533	262	228
534	262	228
535	262	227
536	263	226
537	263	226
538	263	225
539	264	225
540	264	224
541	264	223
542	265	223
543	265	222
544	266	222
545	266	221
546	266	220
547	266	220
548	267	219
549	267	218
550	267	218
551	268	217
552	268	217
553	268	216
554	269	215
555	269	215
556	269	214
557	270	214
558	270	213
559	270	212
560	271	212
561	271	211
562	272	211
563	272	210
564	272	210
565	273	209
566	273	208
567	273	208
568	274	207
569	274	207
570	274	206
571	275	206
572	275	205
573	275	204
574	276	204
575	276	203
576	277	203
577	277	202
578	277	202
579	278	201
580	278	200
581	278	200
582	279	199
583	279	199
584	279	198
585	280	197
586	280	197
587	280	196
588	281	196
589	281	195
590	281	194
591	281	194
592	282	193
593	282	193
594	282	192
595	283	191
596	283	191
597	283	190
598	283	190
599	284	189
600	284	188
601	284	188
602	285	187
603	285	187
604	285	186
605	286	185
606	286	185
607	286	184
608	286	184
609	287	183
610	287	183
611	287	182
612	288	181
613	288	181
614	288	180
615	288	180
616	289	179
617	289	178
618	289	178
619	290	177
620	290	177
621	290	176
622	290	176
623	291	175
624	291	174
625	291	174
626	292	173
627	292	173
628	292	172
629	293	172
630	293	171
631	293	171
632	294	170
633	294	169
634	294	169
635	294	168
636	295	168
637	295	167
638	295	167
639	296	166
640	296	166
641	296	165
642	297	164
643	297	164
644	297	163
645	297	163
646	298	162
647	298	162
648	298	161
649	299	161
650	299	160
651	299	159
652	299	159
653	300	158
654	300	158
655	300	157
656	301	157
657	301	156
658	301	156
659	301	155
660	302	155
661	302	154
662	302	153
663	303	153
664	303	152
665	303	152
666	303	151
667	304	151
668	304	150
669	304	150
670	305	149
671	305	149
672	305	148
673	305	147
674	306	147
675	306	146
676	306	146
677	307	145
678	307	145
679	307	144
680	308	144
681	308	143
682	308	143
683	309	142
684	309	142
685	309	141
686	310	141
687	310	140
688	310	140
689	310	139
690	311	139
691	311	138
692	311	138
693	312	137
694	312	137
695	312	136
696	313	136
697	313	135
698	313	135
699	313	134
700	314	134
701	314	133
702	315	133
703	315	132
704	315	132
705	316	131
706	316	131
707	317	130
708	317	130
709	318	129
710	318	129
711	318	128
712	319	128
713	319	128
714	319	127
715	320	127
716	320	126
717	320	126
718	321	125
719	321	125
720	321	124
721	322	124
722	322	123
723	322	122
724	322	122
725	323	121
726	323	121
727	323	121
728	324	120
729	324	120
730	324	119
731	325	119
732	325	118
733	326	118
734	326	117
735	326	117
736	327	116
737	327	116
738	328	115
739	328	115
740	328	114
741	329	114
742	329	113
743	329	113
744	330	113
745	330	112
746	330	112
747	331	111
748	331	111
749	331	110
750	332	110
751	332	109
752	332	109
753	333	108
754	333	108
755	333	107
756	334	107
757	334	106
758	334	106
759	335	105
760	335	105
761	335	104
762	336	104
763	336	103
764	336	103
765	337	102
766	337	102
767	337	102
768	338	101
769	338	101
770	338	100
771	339	100
772	339	99
773	339	99
774	340	98
775	340	98
776	340	97
777	341	97
778	341	96
779	341	96
780	342	95
781	342	95
782	342	94
783	342	94
784	343	94
785	343	93
786	343	93
787	344	92
788	344	92
789	344	91
790	345	91
791	345	90
792	345	90
793	346	89
794	346	89
795	347	88
796	347	88
797	347	88
798	348	87
799	348	87
800	348	86
801	349	86
802	349	85
803	349	85
804	350	84
805	350	84
806	350	83
807	351	83
808	351	83
809	352	82
810	352	82
811	352	81
812	353	81
813	353	80
814	354	80
815	354	79
816	354	79
817	355	79
818	355	78
819	355	78
820	356	77
821	356	77
822	356	76
823	357	76
824	357	75
825	357	75
826	357	74
827	358	74
828	358	73
829	358	73
830	359	73
831	359	72
832	359	72
833	360	71
834	360	71
835	360	70
836	361	70
837	361	69
838	361	69
839	362	69
840	362	68
841	363	68
842	363	67
843	363	67
844	363	66
845	364	66
846	364	65
847	364	65
848	365	64
849	365	64
850	365	64
851	366	63
852	366	63
853	366	62
854	367	62
855	367	61
856	367	61
857	368	60
858	368	60
859	369	60
860	369	59
861	369	59
862	370	58
863	370	58
864	371	57
865	371	57
866	371	57
867	372	56
868	372	56
869	372	55
870	373	55
871	373	54
872	374	54
873	374	53
874	374	53
875	375	53
876	375	52
877	375	52
878	376	51
879	376	51
880	376	50
881	377	50
882	377	50
883	378	49
884	378	49
885	378	48
886	379	48
887	379	47
888	380	47
889	380	47
890	380	46
891	381	46
892	381	45
893	381	45
894	381	44
895	382	44
896	382	43
897	382	43
898	383	43
899	383	42
900	384	42
901	384	41
902	384	41
903	384	40
904	385	40
905	385	40
906	385	39
907	386	39
908	386	38
909	386	38
910	387	37
911	387	37
912	387	36
913	388	36
914	388	36
915	388	35
916	389	35
917	389	34
918	389	34
919	389	33
920	390	33
921	390	33
922	390	32
923	391	32
924	391	31
925	391	31
926	391	30
927	392	30
928	392	30
929	392	29
930	393	29
931	393	28
932	393	28
933	394	27
934	394	27
935	394	26
936	395	26
937	395	26
938	395	25
939	396	25
940	396	24
941	396	24
942	396	23
943	397	23
944	397	23
945	397	22
946	398	22
947	398	21
948	398	21
949	398	20
950	399	20
951	399	20
952	399	19
953	400	19
954	400	18
955	400	18
956	401	18
957	401	17
