iter	Passed	Remaining
0	66	66628
1	67	33658
2	68	22663
3	68	17064
4	69	13837
5	70	11643
6	70	10051
7	71	8868
8	71	7912
9	72	7146
10	72	6520
11	72	5998
12	73	5556
13	73	5177
14	73	4848
15	74	4561
16	74	4308
17	74	4083
18	75	3882
19	76	3729
20	77	3604
21	77	3452
22	78	3315
23	78	3194
24	78	3078
25	79	2968
26	79	2876
27	80	2795
28	80	2708
29	81	2626
30	81	2548
31	82	2504
32	84	2487
33	85	2421
34	85	2359
35	86	2304
36	87	2265
37	87	2216
38	88	2168
39	88	2123
40	88	2081
41	89	2046
42	90	2010
43	90	1973
44	91	1938
45	91	1906
46	92	1874
47	92	1842
48	93	1811
49	93	1785
50	94	1757
51	94	1731
52	95	1705
53	95	1678
54	96	1655
55	96	1632
56	97	1609
57	97	1586
58	98	1566
59	98	1547
60	99	1528
61	99	1507
62	100	1494
63	101	1480
64	101	1465
65	102	1447
66	102	1430
67	103	1417
68	104	1405
69	104	1391
70	105	1375
71	105	1363
72	106	1358
73	107	1345
74	108	1332
75	108	1319
76	109	1308
77	109	1296
78	110	1283
79	110	1271
80	110	1259
81	111	1248
82	111	1235
83	112	1223
84	112	1212
85	113	1202
86	113	1194
87	114	1184
88	114	1173
89	114	1162
90	115	1154
91	116	1149
92	116	1140
93	117	1131
94	117	1121
95	118	1117
96	119	1110
97	119	1101
98	120	1093
99	120	1087
100	121	1081
101	121	1073
102	122	1065
103	122	1057
104	123	1050
105	123	1043
106	124	1036
107	124	1030
108	125	1022
109	125	1015
110	126	1010
111	126	1004
112	127	998
113	127	992
114	128	987
115	128	980
116	129	974
117	129	967
118	129	962
119	130	960
120	131	954
121	131	949
122	132	944
123	133	939
124	133	935
125	134	930
126	134	923
127	135	924
128	136	919
129	136	913
130	137	909
131	137	903
132	137	898
133	138	892
134	138	887
135	138	882
136	139	877
137	139	873
138	140	868
139	140	863
140	140	858
141	141	853
142	141	848
143	141	843
144	142	839
145	142	834
146	143	830
147	143	826
148	143	822
149	144	817
150	144	813
151	145	810
152	145	806
153	146	803
154	146	800
155	147	796
156	147	792
157	148	788
158	148	785
159	148	781
160	149	778
161	149	775
162	150	771
163	150	768
164	151	765
165	151	762
166	152	759
167	152	756
168	153	753
169	153	749
170	153	746
171	154	743
172	154	740
173	155	738
174	155	735
175	156	731
176	156	728
177	157	725
178	157	722
179	157	718
180	158	715
181	158	711
182	158	708
183	159	706
184	159	703
185	160	701
186	160	699
187	161	698
188	162	695
189	162	693
190	163	690
191	163	687
192	163	685
193	164	683
194	164	680
195	165	678
196	165	675
197	166	673
198	166	671
199	167	669
200	168	668
201	169	667
202	169	665
203	169	663
204	170	660
205	170	658
206	171	657
207	172	654
208	172	652
209	172	650
210	173	647
211	173	646
212	174	644
213	174	641
214	175	639
215	175	638
216	176	636
217	177	635
218	177	633
219	178	631
220	178	630
221	180	632
222	181	631
223	181	629
224	182	627
225	182	625
226	183	623
227	183	621
228	184	619
229	184	617
230	184	615
231	185	612
232	185	610
233	186	609
234	186	606
235	186	605
236	187	603
237	187	600
238	188	598
239	188	596
240	189	595
241	189	593
242	189	591
243	190	589
244	191	588
245	191	588
246	192	586
247	192	584
248	193	582
249	193	580
250	193	578
251	194	576
252	194	574
253	195	573
254	195	571
255	196	569
256	196	568
257	196	566
258	198	567
259	198	565
260	199	563
261	199	563
262	200	562
263	200	560
264	201	558
265	201	557
266	202	555
267	202	554
268	203	552
269	203	551
270	204	549
271	204	547
272	205	546
273	205	544
274	205	542
275	206	540
276	206	539
277	207	537
278	207	536
279	208	534
280	208	533
281	208	531
282	209	529
283	209	527
284	209	526
285	210	524
286	210	523
287	210	521
288	211	519
289	211	518
290	212	516
291	212	515
292	212	513
293	213	512
294	213	510
295	214	509
296	214	507
297	214	505
298	215	504
299	215	502
300	215	500
301	215	499
302	216	497
303	216	496
304	217	495
305	217	493
306	218	492
307	218	491
308	218	489
309	219	488
310	219	486
311	219	485
312	220	483
313	220	481
314	220	480
315	221	479
316	221	478
317	222	476
318	222	474
319	222	473
320	223	471
321	223	470
322	223	469
323	224	467
324	224	466
325	225	465
326	225	463
327	225	462
328	226	461
329	226	459
330	226	458
331	227	456
332	227	455
333	227	453
334	227	452
335	228	450
336	228	449
337	228	448
338	229	447
339	229	445
340	229	444
341	230	443
342	230	441
343	231	440
344	231	439
345	231	438
346	232	437
347	233	436
348	233	435
349	234	435
350	234	434
351	235	432
352	235	431
353	236	431
354	237	430
355	237	430
356	238	429
357	239	428
358	239	427
359	240	426
360	240	426
361	241	425
362	242	425
363	243	424
364	243	424
365	244	423
366	245	423
367	245	422
368	246	421
369	246	420
370	247	419
371	247	418
372	248	417
373	248	416
374	249	415
375	249	414
376	249	413
377	250	412
378	251	411
379	251	410
380	252	410
381	253	409
382	253	408
383	254	408
384	255	407
385	255	406
386	255	405
387	256	404
388	257	404
389	257	403
390	258	402
391	258	401
392	258	400
393	259	399
394	260	398
395	260	397
396	261	396
397	261	395
398	262	394
399	262	393
400	263	393
401	263	392
402	264	391
403	264	390
404	265	389
405	265	388
406	266	388
407	267	387
408	267	386
409	267	385
410	268	384
411	268	383
412	268	382
413	269	381
414	269	380
415	270	379
416	270	378
417	270	377
418	271	376
419	271	375
420	272	374
421	272	373
422	273	372
423	273	371
424	273	370
425	274	369
426	274	368
427	274	367
428	275	366
429	275	365
430	275	364
431	276	363
432	276	362
433	276	361
434	277	360
435	277	359
436	277	358
437	278	357
438	278	356
439	278	355
440	279	354
441	279	353
442	279	352
443	280	351
444	280	350
445	281	349
446	281	348
447	281	347
448	282	346
449	282	345
450	282	344
451	283	343
452	283	342
453	283	341
454	284	340
455	284	339
456	284	338
457	285	337
458	285	336
459	285	335
460	286	334
461	286	333
462	287	333
463	287	332
464	287	331
465	288	330
466	288	329
467	288	328
468	289	327
469	289	326
470	289	325
471	289	324
472	290	323
473	290	322
474	291	321
475	291	320
476	291	319
477	292	318
478	292	318
479	292	317
480	293	316
481	293	315
482	293	314
483	294	313
484	294	312
485	294	311
486	295	310
487	295	310
488	296	309
489	296	308
490	296	307
491	297	307
492	297	306
493	298	305
494	298	304
495	298	303
496	299	302
497	299	302
498	300	301
499	300	300
500	300	299
501	301	298
502	301	297
503	301	297
504	302	296
505	302	295
506	302	294
507	303	293
508	303	292
509	303	291
510	304	291
511	304	290
512	304	289
513	305	288
514	305	287
515	305	286
516	306	285
517	306	285
518	306	284
519	307	283
520	307	282
521	307	281
522	308	280
523	308	280
524	308	279
525	309	278
526	309	277
527	309	277
528	310	276
529	310	275
530	310	274
531	311	273
532	311	273
533	312	272
534	312	271
535	312	270
536	313	270
537	313	269
538	313	268
539	314	267
540	314	267
541	315	266
542	315	265
543	316	265
544	316	264
545	317	263
546	317	262
547	317	262
548	318	261
549	318	260
550	318	259
551	319	259
552	319	258
553	320	257
554	320	256
555	320	256
556	321	255
557	321	254
558	321	253
559	322	253
560	322	252
561	322	251
562	323	250
563	323	250
564	323	249
565	324	248
566	324	247
567	324	247
568	325	246
569	325	245
570	326	245
571	326	244
572	327	243
573	327	242
574	327	242
575	328	241
576	328	240
577	328	240
578	329	239
579	329	238
580	330	238
581	330	237
582	331	236
583	331	236
584	331	235
585	331	234
586	332	233
587	332	233
588	333	232
589	333	231
590	333	231
591	334	230
592	334	229
593	335	229
594	335	228
595	335	227
596	336	226
597	336	226
598	336	225
599	337	224
600	337	224
601	338	223
602	338	222
603	338	222
604	339	221
605	339	220
606	339	220
607	340	219
608	340	218
609	340	217
610	341	217
611	341	216
612	341	215
613	342	215
614	342	214
615	343	213
616	343	213
617	343	212
618	344	211
619	344	211
620	344	210
621	345	209
622	345	209
623	345	208
624	346	207
625	346	207
626	347	206
627	347	205
628	347	205
629	348	204
630	348	204
631	349	203
632	349	202
633	350	202
634	350	201
635	350	200
636	351	200
637	351	199
638	351	198
639	352	198
640	352	197
641	352	196
642	353	196
643	353	195
644	354	194
645	354	194
646	354	193
647	355	192
648	355	192
649	356	191
650	356	191
651	356	190
652	357	189
653	357	189
654	357	188
655	358	187
656	358	187
657	358	186
658	359	185
659	359	185
660	359	184
661	360	183
662	360	183
663	360	182
664	361	182
665	361	181
666	362	180
667	362	180
668	362	179
669	362	178
670	363	178
671	363	177
672	364	176
673	364	176
674	364	175
675	365	174
676	365	174
677	365	173
678	366	173
679	366	172
680	367	171
681	367	171
682	368	170
683	368	170
684	368	169
685	368	168
686	369	168
687	369	167
688	369	166
689	370	166
690	370	165
691	370	165
692	371	164
693	371	163
694	372	163
695	372	162
696	372	162
697	373	161
698	373	160
699	374	160
700	375	159
701	375	159
702	375	158
703	376	158
704	376	157
705	376	156
706	377	156
707	377	155
708	377	155
709	378	154
710	378	153
711	379	153
712	379	152
713	379	152
714	380	151
715	380	150
716	380	150
717	381	149
718	381	149
719	382	148
720	382	148
721	382	147
722	383	146
723	383	146
724	383	145
725	384	144
726	384	144
727	384	143
728	384	143
729	385	142
730	385	141
731	385	141
732	386	140
733	386	140
734	386	139
735	387	138
736	387	138
737	388	137
738	388	137
739	389	136
740	389	136
741	389	135
742	390	135
743	390	134
744	391	133
745	391	133
746	391	132
747	392	132
748	392	131
749	392	130
750	393	130
751	393	129
752	393	129
753	394	128
754	394	128
755	395	127
756	395	126
757	395	126
758	396	125
759	396	125
760	397	124
761	397	124
762	397	123
763	398	122
764	398	122
765	398	121
766	399	121
767	399	120
768	399	120
769	400	119
770	400	118
771	400	118
772	401	117
773	401	117
774	401	116
775	402	116
776	402	115
777	402	114
778	403	114
779	403	113
780	403	113
781	404	112
782	404	112
783	405	111
784	405	111
785	406	110
786	406	110
787	406	109
788	407	108
789	407	108
790	407	107
791	408	107
792	408	106
793	408	106
794	409	105
795	409	104
796	409	104
797	410	103
798	410	103
799	410	102
800	411	102
801	411	101
802	411	101
803	412	100
804	412	99
805	412	99
806	413	98
807	413	98
808	413	97
809	414	97
810	414	96
811	414	96
812	415	95
813	415	94
814	415	94
815	416	93
816	416	93
817	416	92
818	417	92
819	417	91
820	417	91
821	418	90
822	418	90
823	418	89
824	419	88
825	419	88
826	420	87
827	420	87
828	420	86
829	421	86
830	421	85
831	421	85
832	422	84
833	422	84
834	423	83
835	423	83
836	424	82
837	424	82
838	424	81
839	425	80
840	425	80
841	425	79
842	426	79
843	426	78
844	427	78
845	427	77
846	427	77
847	428	76
848	428	76
849	428	75
850	429	75
851	429	74
852	429	74
853	430	73
854	430	73
855	430	72
856	431	71
857	431	71
858	431	70
859	432	70
860	432	69
861	432	69
862	433	68
863	433	68
864	433	67
865	434	67
866	434	66
867	435	66
868	435	65
869	435	65
870	436	64
871	436	64
872	437	63
873	437	63
874	437	62
875	437	61
876	438	61
877	438	60
878	439	60
879	439	59
880	440	59
881	440	58
882	440	58
